0,HG00096
1,HG00097
2,HG00099
3,HG00100
4,HG00101
5,HG00102
6,HG00103
7,HG00105
8,HG00106
9,HG00107
10,HG00108
11,HG00109
12,HG00110
13,HG00111
14,HG00112
15,HG00113
16,HG00114
17,HG00115
18,HG00116
19,HG00117
20,HG00118
21,HG00119
22,HG00120
23,HG00121
24,HG00122
25,HG00123
26,HG00125
27,HG00126
28,HG00127
29,HG00128
30,HG00129
31,HG00130
32,HG00131
33,HG00132
34,HG00133
35,HG00136
36,HG00137
37,HG00138
38,HG00139
39,HG00140
40,HG00141
41,HG00142
42,HG00143
43,HG00145
44,HG00146
45,HG00148
46,HG00149
47,HG00150
48,HG00151
49,HG00154
50,HG00155
51,HG00157
52,HG00158
53,HG00159
54,HG00160
55,HG00171
56,HG00173
57,HG00174
58,HG00176
59,HG00177
60,HG00178
61,HG00179
62,HG00180
63,HG00181
64,HG00182
65,HG00183
66,HG00185
67,HG00186
68,HG00187
69,HG00188
70,HG00189
71,HG00190
72,HG00231
73,HG00232
74,HG00233
75,HG00234
76,HG00235
77,HG00236
78,HG00237
79,HG00238
80,HG00239
81,HG00240
82,HG00242
83,HG00243
84,HG00244
85,HG00245
86,HG00246
87,HG00250
88,HG00251
89,HG00252
90,HG00253
91,HG00254
92,HG00255
93,HG00256
94,HG00257
95,HG00258
96,HG00259
97,HG00260
98,HG00261
99,HG00262
100,HG00263
101,HG00264
102,HG00265
103,HG00266
104,HG00267
105,HG00268
106,HG00269
107,HG00271
108,HG00272
109,HG00273
110,HG00274
111,HG00275
112,HG00276
113,HG00277
114,HG00278
115,HG00280
116,HG00281
117,HG00282
118,HG00284
119,HG00285
120,HG00288
121,HG00290
122,HG00304
123,HG00306
124,HG00308
125,HG00309
126,HG00310
127,HG00311
128,HG00313
129,HG00315
130,HG00318
131,HG00319
132,HG00320
133,HG00321
134,HG00323
135,HG00324
136,HG00325
137,HG00326
138,HG00327
139,HG00328
140,HG00329
141,HG00330
142,HG00331
143,HG00332
144,HG00334
145,HG00335
146,HG00336
147,HG00337
148,HG00338
149,HG00339
150,HG00341
151,HG00342
152,HG00343
153,HG00344
154,HG00345
155,HG00346
156,HG00349
157,HG00350
158,HG00351
159,HG00353
160,HG00355
161,HG00356
162,HG00357
163,HG00358
164,HG00360
165,HG00361
166,HG00362
167,HG00364
168,HG00365
169,HG00366
170,HG00367
171,HG00368
172,HG00369
173,HG00371
174,HG00372
175,HG00373
176,HG00375
177,HG00376
178,HG00378
179,HG00379
180,HG00380
181,HG00381
182,HG00382
183,HG00383
184,HG00384
185,HG00403
186,HG00404
187,HG00406
188,HG00407
189,HG00409
190,HG00410
191,HG00419
192,HG00421
193,HG00422
194,HG00428
195,HG00436
196,HG00437
197,HG00442
198,HG00443
199,HG00445
200,HG00446
201,HG00448
202,HG00449
203,HG00451
204,HG00452
205,HG00457
206,HG00458
207,HG00463
208,HG00464
209,HG00472
210,HG00473
211,HG00475
212,HG00476
213,HG00478
214,HG00479
215,HG00500
216,HG00513
217,HG00524
218,HG00525
219,HG00530
220,HG00531
221,HG00533
222,HG00534
223,HG00536
224,HG00537
225,HG00542
226,HG00543
227,HG00551
228,HG00553
229,HG00554
230,HG00556
231,HG00557
232,HG00559
233,HG00560
234,HG00565
235,HG00566
236,HG00580
237,HG00581
238,HG00583
239,HG00584
240,HG00589
241,HG00590
242,HG00592
243,HG00593
244,HG00595
245,HG00596
246,HG00598
247,HG00599
248,HG00607
249,HG00608
250,HG00610
251,HG00611
252,HG00613
253,HG00614
254,HG00619
255,HG00620
256,HG00622
257,HG00623
258,HG00625
259,HG00626
260,HG00628
261,HG00629
262,HG00631
263,HG00632
264,HG00634
265,HG00637
266,HG00638
267,HG00640
268,HG00641
269,HG00650
270,HG00651
271,HG00653
272,HG00654
273,HG00656
274,HG00657
275,HG00662
276,HG00663
277,HG00671
278,HG00672
279,HG00674
280,HG00675
281,HG00683
282,HG00684
283,HG00689
284,HG00690
285,HG00692
286,HG00693
287,HG00698
288,HG00699
289,HG00701
290,HG00704
291,HG00705
292,HG00707
293,HG00708
294,HG00717
295,HG00728
296,HG00729
297,HG00731
298,HG00732
299,HG00734
300,HG00736
301,HG00737
302,HG00739
303,HG00740
304,HG00742
305,HG00743
306,HG00759
307,HG00766
308,HG00844
309,HG00851
310,HG00864
311,HG00867
312,HG00879
313,HG00881
314,HG00956
315,HG00978
316,HG00982
317,HG01028
318,HG01029
319,HG01031
320,HG01046
321,HG01047
322,HG01048
323,HG01049
324,HG01051
325,HG01052
326,HG01054
327,HG01055
328,HG01058
329,HG01060
330,HG01061
331,HG01063
332,HG01064
333,HG01066
334,HG01067
335,HG01069
336,HG01070
337,HG01072
338,HG01073
339,HG01075
340,HG01077
341,HG01079
342,HG01080
343,HG01082
344,HG01083
345,HG01085
346,HG01086
347,HG01088
348,HG01089
349,HG01092
350,HG01094
351,HG01095
352,HG01097
353,HG01098
354,HG01101
355,HG01102
356,HG01104
357,HG01105
358,HG01107
359,HG01108
360,HG01110
361,HG01111
362,HG01112
363,HG01113
364,HG01119
365,HG01121
366,HG01122
367,HG01124
368,HG01125
369,HG01130
370,HG01131
371,HG01133
372,HG01134
373,HG01136
374,HG01137
375,HG01139
376,HG01140
377,HG01142
378,HG01148
379,HG01149
380,HG01161
381,HG01162
382,HG01164
383,HG01167
384,HG01168
385,HG01170
386,HG01171
387,HG01173
388,HG01174
389,HG01176
390,HG01177
391,HG01182
392,HG01183
393,HG01187
394,HG01188
395,HG01190
396,HG01191
397,HG01197
398,HG01198
399,HG01200
400,HG01204
401,HG01205
402,HG01241
403,HG01242
404,HG01247
405,HG01248
406,HG01250
407,HG01251
408,HG01253
409,HG01254
410,HG01256
411,HG01257
412,HG01259
413,HG01260
414,HG01269
415,HG01271
416,HG01272
417,HG01275
418,HG01277
419,HG01280
420,HG01281
421,HG01284
422,HG01286
423,HG01302
424,HG01303
425,HG01305
426,HG01308
427,HG01311
428,HG01312
429,HG01323
430,HG01325
431,HG01326
432,HG01334
433,HG01341
434,HG01342
435,HG01344
436,HG01345
437,HG01348
438,HG01350
439,HG01351
440,HG01353
441,HG01354
442,HG01356
443,HG01357
444,HG01359
445,HG01360
446,HG01362
447,HG01363
448,HG01365
449,HG01366
450,HG01369
451,HG01372
452,HG01374
453,HG01375
454,HG01377
455,HG01378
456,HG01383
457,HG01384
458,HG01389
459,HG01390
460,HG01392
461,HG01393
462,HG01395
463,HG01396
464,HG01398
465,HG01402
466,HG01403
467,HG01405
468,HG01412
469,HG01413
470,HG01414
471,HG01431
472,HG01432
473,HG01435
474,HG01437
475,HG01438
476,HG01440
477,HG01441
478,HG01443
479,HG01444
480,HG01447
481,HG01455
482,HG01456
483,HG01459
484,HG01461
485,HG01462
486,HG01464
487,HG01465
488,HG01468
489,HG01474
490,HG01479
491,HG01485
492,HG01486
493,HG01488
494,HG01489
495,HG01491
496,HG01492
497,HG01494
498,HG01495
499,HG01497
500,HG01498
501,HG01500
502,HG01501
503,HG01503
504,HG01504
505,HG01506
506,HG01507
507,HG01509
508,HG01510
509,HG01512
510,HG01513
511,HG01515
512,HG01516
513,HG01518
514,HG01519
515,HG01521
516,HG01522
517,HG01524
518,HG01525
519,HG01527
520,HG01528
521,HG01530
522,HG01531
523,HG01536
524,HG01537
525,HG01550
526,HG01551
527,HG01556
528,HG01565
529,HG01566
530,HG01571
531,HG01572
532,HG01577
533,HG01578
534,HG01583
535,HG01586
536,HG01589
537,HG01593
538,HG01595
539,HG01596
540,HG01597
541,HG01598
542,HG01599
543,HG01600
544,HG01602
545,HG01603
546,HG01605
547,HG01606
548,HG01607
549,HG01608
550,HG01610
551,HG01612
552,HG01613
553,HG01615
554,HG01617
555,HG01618
556,HG01619
557,HG01620
558,HG01623
559,HG01624
560,HG01625
561,HG01626
562,HG01628
563,HG01630
564,HG01631
565,HG01632
566,HG01668
567,HG01669
568,HG01670
569,HG01672
570,HG01673
571,HG01675
572,HG01676
573,HG01678
574,HG01679
575,HG01680
576,HG01682
577,HG01684
578,HG01685
579,HG01686
580,HG01694
581,HG01695
582,HG01697
583,HG01699
584,HG01700
585,HG01702
586,HG01704
587,HG01705
588,HG01707
589,HG01708
590,HG01709
591,HG01710
592,HG01746
593,HG01747
594,HG01756
595,HG01757
596,HG01761
597,HG01762
598,HG01765
599,HG01766
600,HG01767
601,HG01768
602,HG01770
603,HG01771
604,HG01773
605,HG01775
606,HG01776
607,HG01777
608,HG01779
609,HG01781
610,HG01783
611,HG01784
612,HG01785
613,HG01786
614,HG01789
615,HG01790
616,HG01791
617,HG01794
618,HG01795
619,HG01796
620,HG01797
621,HG01798
622,HG01799
